line_no, Core 0 lines , Core 1 lines
318 , 263 , 0
319 , 0 , 0
320 , 0 , 1090
321 , 522 , 0
322 , 0 , 0
323 , 0 , 0
324 , 815 , 342
325 , 270 , 0
326 , 0 , 0
327 , 0 , 0
328 , 0 , 0
329 , 0 , 0
330 , 0 , 333
331 , 0 , 0
332 , 0 , 0
333 , 0 , 0
334 , 0 , 0
335 , 0 , 292
336 , 0 , 0
337 , 0 , 0
338 , 383 , 0
339 , 0 , 0
340 , 0 , 296
341 , 0 , 0
342 , 0 , 0
343 , 0 , 0
344 , 0 , 0
345 , 0 , 0
346 , 260 , 0
347 , 259 , 0
348 , 0 , 0
349 , 0 , 0
350 , 0 , 305
351 , 0 , 0
352 , 0 , 0
353 , 0 , 0
354 , 0 , 535
355 , 0 , 0
356 , 292 , 0
357 , 302 , 287
358 , 0 , 0
359 , 0 , 0
360 , 0 , 0
361 , 0 , 0
362 , 0 , 571
363 , 0 , 0
364 , 0 , 0
365 , 0 , 0
366 , 0 , 0
367 , 588 , 281
368 , 0 , 0
369 , 0 , 0
370 , 0 , 0
371 , 0 , 0
372 , 0 , 230
373 , 314 , 0
374 , 0 , 0
375 , 0 , 0
376 , 0 , 0
377 , 288 , 0
378 , 0 , 0
379 , 0 , 0
380 , 347 , 0
381 , 0 , 0
382 , 0 , 0
383 , 0 , 0
384 , 293 , 0
385 , 0 , 325
386 , 0 , 289
387 , 564 , 0
388 , 0 , 246
389 , 0 , 0
390 , 0 , 0
391 , 0 , 0
392 , 0 , 293
393 , 0 , 0
394 , 296 , 0
395 , 0 , 259
396 , 0 , 275
397 , 0 , 0
398 , 0 , 0
399 , 299 , 0
400 , 578 , 0
401 , 0 , 0
402 , 0 , 0
403 , 206 , 0
404 , 0 , 0
405 , 337 , 0
406 , 0 , 0
407 , 0 , 0
408 , 330 , 0
409 , 0 , 0
410 , 0 , 0
411 , 249 , 0
412 , 294 , 0
413 , 288 , 331
414 , 0 , 0
415 , 0 , 0
416 , 246 , 334
417 , 341 , 0
418 , 0 , 286
419 , 0 , 253
420 , 0 , 325
421 , 0 , 309
422 , 0 , 0
423 , 0 , 0
424 , 0 , 448
425 , 0 , 250
426 , 0 , 254
427 , 0 , 0
428 , 0 , 573
429 , 0 , 246
430 , 0 , 0
431 , 0 , 0
