line_no, Core 0 lines , Core 1 lines
0 , 172 , 0
1 , 0 , 0
2 , 0 , 0
3 , 0 , 0
4 , 269 , 0
5 , 0 , 0
6 , 178 , 0
7 , 0 , 167
8 , 0 , 0
9 , 168 , 342
10 , 0 , 0
11 , 0 , 363
12 , 0 , 0
13 , 167 , 0
14 , 0 , 0
15 , 194 , 184
16 , 0 , 236
17 , 314 , 0
18 , 0 , 229
19 , 0 , 0
20 , 146 , 0
21 , 0 , 773
22 , 194 , 0
23 , 177 , 0
24 , 162 , 232
25 , 0 , 0
26 , 0 , 0
27 , 0 , 227
28 , 0 , 0
29 , 0 , 0
30 , 0 , 0
31 , 117 , 0
32 , 213 , 0
33 , 213 , 0
34 , 0 , 263
35 , 0 , 200
36 , 0 , 408
37 , 0 , 0
38 , 0 , 0
39 , 168 , 174
40 , 0 , 0
41 , 0 , 0
42 , 133 , 0
43 , 206 , 0
44 , 334 , 415
45 , 429 , 0
46 , 0 , 190
47 , 0 , 0
48 , 145 , 186
49 , 189 , 193
50 , 156 , 0
51 , 160 , 246
52 , 0 , 0
53 , 0 , 0
54 , 203 , 327
55 , 0 , 0
56 , 189 , 175
57 , 0 , 0
58 , 0 , 176
59 , 0 , 0
60 , 0 , 335
61 , 401 , 0
62 , 198 , 0
63 , 149 , 0
64 , 0 , 0
65 , 0 , 0
66 , 171 , 0
67 , 190 , 199
68 , 0 , 0
69 , 0 , 0
70 , 0 , 0
71 , 0 , 192
72 , 0 , 236
73 , 159 , 0
74 , 0 , 361
75 , 173 , 158
76 , 0 , 334
77 , 0 , 0
78 , 0 , 0
79 , 0 , 0
80 , 147 , 178
81 , 185 , 0
82 , 206 , 196
83 , 0 , 0
84 , 182 , 0
85 , 0 , 0
86 , 218 , 201
87 , 0 , 136
88 , 195 , 217
89 , 0 , 140
90 , 0 , 175
91 , 0 , 148
92 , 0 , 211
93 , 0 , 0
94 , 0 , 0
95 , 0 , 170
96 , 228 , 0
97 , 0 , 219
98 , 0 , 0
99 , 186 , 167
100 , 0 , 166
101 , 0 , 0
102 , 0 , 0
103 , 0 , 223
104 , 0 , 0
105 , 0 , 0
106 , 180 , 203
107 , 192 , 0
108 , 0 , 0
109 , 236 , 0
110 , 182 , 193
111 , 0 , 223
112 , 0 , 325
113 , 119 , 0
114 , 0 , 227
115 , 416 , 194
116 , 0 , 0
117 , 0 , 0
118 , 202 , 0
119 , 447 , 0
120 , 378 , 405
121 , 0 , 247
122 , 0 , 0
123 , 0 , 144
124 , 0 , 0
125 , 0 , 185
126 , 157 , 0
127 , 0 , 165
128 , 0 , 328
129 , 0 , 311
130 , 403 , 0
131 , 0 , 0
132 , 0 , 0
133 , 0 , 0
134 , 0 , 0
135 , 0 , 0
136 , 0 , 415
137 , 0 , 0
138 , 0 , 366
139 , 0 , 513
140 , 191 , 230
141 , 0 , 201
142 , 205 , 0
143 , 0 , 0
144 , 529 , 224
145 , 0 , 0
146 , 0 , 338
147 , 182 , 198
148 , 0 , 0
149 , 753 , 0
150 , 162 , 0
151 , 0 , 139
152 , 0 , 187
153 , 351 , 210
154 , 187 , 0
155 , 0 , 0
156 , 192 , 0
157 , 0 , 231
158 , 0 , 579
159 , 0 , 261
160 , 343 , 0
161 , 231 , 193
162 , 0 , 0
163 , 467 , 0
164 , 0 , 0
165 , 0 , 0
166 , 191 , 198
167 , 0 , 554
168 , 201 , 0
169 , 0 , 153
170 , 0 , 0
171 , 0 , 0
172 , 146 , 0
173 , 269 , 0
174 , 195 , 0
175 , 0 , 0
176 , 193 , 0
177 , 326 , 353
178 , 0 , 229
179 , 0 , 0
180 , 0 , 139
181 , 0 , 0
182 , 0 , 0
183 , 201 , 0
184 , 0 , 0
185 , 0 , 0
186 , 0 , 0
187 , 0 , 0
188 , 0 , 215
189 , 424 , 0
190 , 0 , 0
191 , 222 , 0
192 , 0 , 0
193 , 0 , 380
194 , 187 , 364
195 , 165 , 0
196 , 0 , 190
197 , 0 , 0
198 , 356 , 0
199 , 183 , 0
200 , 0 , 0
201 , 0 , 0
202 , 173 , 0
203 , 322 , 0
204 , 0 , 0
205 , 0 , 0
206 , 388 , 0
207 , 0 , 0
208 , 175 , 0
209 , 0 , 383
210 , 172 , 0
211 , 205 , 0
212 , 556 , 238
213 , 0 , 0
214 , 0 , 223
215 , 0 , 0
216 , 0 , 0
217 , 0 , 0
218 , 0 , 0
219 , 0 , 147
220 , 148 , 0
221 , 0 , 0
222 , 0 , 0
223 , 230 , 0
224 , 207 , 169
225 , 0 , 0
226 , 185 , 0
227 , 292 , 160
228 , 0 , 226
229 , 0 , 0
230 , 0 , 0
231 , 0 , 0
232 , 0 , 535
233 , 0 , 0
234 , 120 , 439
235 , 172 , 196
236 , 391 , 0
237 , 0 , 138
238 , 0 , 0
239 , 0 , 0
240 , 194 , 0
241 , 178 , 0
242 , 205 , 205
243 , 246 , 148
244 , 0 , 400
245 , 661 , 0
246 , 0 , 0
247 , 0 , 0
248 , 190 , 0
249 , 0 , 197
250 , 0 , 0
251 , 0 , 213
252 , 151 , 0
253 , 0 , 0
254 , 0 , 169
255 , 192 , 0
256 , 0 , 0
257 , 403 , 0
258 , 225 , 0
259 , 0 , 155
260 , 449 , 0
261 , 0 , 0
262 , 0 , 0
263 , 0 , 0
264 , 0 , 0
265 , 158 , 141
266 , 0 , 0
267 , 0 , 0
268 , 197 , 189
269 , 193 , 0
270 , 0 , 0
271 , 0 , 176
272 , 149 , 159
273 , 0 , 0
274 , 0 , 0
275 , 194 , 0
276 , 142 , 0
277 , 0 , 0
278 , 0 , 0
279 , 0 , 159
280 , 0 , 0
281 , 381 , 407
282 , 203 , 156
283 , 149 , 0
284 , 133 , 162
285 , 0 , 179
286 , 0 , 169
287 , 261 , 168
288 , 153 , 0
289 , 185 , 411
290 , 426 , 0
291 , 436 , 0
292 , 360 , 0
293 , 0 , 0
294 , 0 , 172
295 , 0 , 0
296 , 158 , 0
297 , 176 , 0
298 , 0 , 0
299 , 0 , 0
300 , 365 , 0
301 , 0 , 0
302 , 165 , 0
303 , 173 , 170
304 , 0 , 0
305 , 167 , 0
306 , 156 , 0
307 , 192 , 0
308 , 0 , 220
309 , 0 , 0
310 , 0 , 0
311 , 177 , 153
312 , 0 , 591
313 , 0 , 0
314 , 0 , 0
315 , 166 , 235
316 , 223 , 0
317 , 0 , 0
318 , 222 , 0
319 , 0 , 0
320 , 0 , 730
321 , 361 , 0
322 , 0 , 526
323 , 0 , 0
324 , 603 , 354
325 , 762 , 0
326 , 0 , 0
327 , 0 , 0
328 , 159 , 0
329 , 0 , 0
330 , 0 , 131
331 , 189 , 185
332 , 0 , 148
333 , 0 , 0
334 , 0 , 0
335 , 0 , 157
336 , 0 , 0
337 , 0 , 0
338 , 254 , 0
339 , 0 , 0
340 , 0 , 176
341 , 0 , 0
342 , 349 , 0
343 , 0 , 0
344 , 192 , 0
345 , 0 , 391
346 , 179 , 174
347 , 175 , 151
348 , 0 , 0
349 , 0 , 0
350 , 0 , 346
351 , 0 , 0
352 , 0 , 0
353 , 0 , 0
354 , 0 , 388
355 , 190 , 0
356 , 252 , 0
357 , 758 , 797
358 , 0 , 0
359 , 0 , 0
360 , 0 , 202
361 , 0 , 0
362 , 0 , 355
363 , 264 , 181
364 , 0 , 0
365 , 236 , 251
366 , 187 , 0
367 , 343 , 194
368 , 0 , 0
369 , 0 , 0
370 , 0 , 0
371 , 0 , 0
372 , 0 , 238
373 , 789 , 0
374 , 165 , 0
375 , 0 , 0
376 , 0 , 0
377 , 169 , 0
378 , 0 , 199
379 , 0 , 0
380 , 186 , 0
381 , 0 , 222
382 , 0 , 0
383 , 0 , 0
384 , 181 , 0
385 , 0 , 191
386 , 0 , 196
387 , 347 , 0
388 , 0 , 197
389 , 0 , 0
390 , 0 , 0
391 , 0 , 0
392 , 0 , 188
393 , 164 , 0
394 , 182 , 0
395 , 0 , 197
396 , 0 , 143
397 , 0 , 0
398 , 195 , 0
399 , 192 , 0
400 , 419 , 0
401 , 0 , 0
402 , 0 , 0
403 , 331 , 0
404 , 0 , 0
405 , 681 , 0
406 , 145 , 0
407 , 0 , 197
408 , 348 , 0
409 , 192 , 0
410 , 173 , 211
411 , 151 , 267
412 , 134 , 0
413 , 180 , 195
414 , 0 , 0
415 , 0 , 0
416 , 167 , 212
417 , 232 , 0
418 , 0 , 218
419 , 190 , 159
420 , 0 , 385
421 , 0 , 764
422 , 235 , 136
423 , 0 , 0
424 , 0 , 337
425 , 0 , 151
426 , 0 , 205
427 , 0 , 174
428 , 0 , 412
429 , 0 , 162
430 , 0 , 0
431 , 0 , 0
432 , 0 , 0
433 , 389 , 388
434 , 171 , 0
435 , 0 , 186
436 , 194 , 0
437 , 0 , 0
438 , 225 , 0
439 , 0 , 213
440 , 0 , 169
441 , 213 , 0
442 , 0 , 0
443 , 0 , 0
444 , 0 , 0
445 , 151 , 0
446 , 177 , 0
447 , 0 , 0
448 , 0 , 148
449 , 169 , 131
450 , 176 , 149
451 , 0 , 0
452 , 0 , 0
453 , 0 , 0
454 , 0 , 189
455 , 451 , 0
456 , 0 , 0
457 , 506 , 242
458 , 0 , 233
459 , 389 , 172
460 , 0 , 0
461 , 0 , 0
462 , 199 , 0
463 , 0 , 0
464 , 0 , 197
465 , 0 , 0
466 , 191 , 0
467 , 144 , 154
468 , 183 , 0
469 , 0 , 0
470 , 215 , 195
471 , 0 , 0
472 , 249 , 0
473 , 0 , 0
474 , 0 , 372
475 , 157 , 0
476 , 254 , 139
477 , 315 , 323
478 , 0 , 0
479 , 230 , 0
480 , 162 , 0
481 , 175 , 0
482 , 253 , 200
483 , 185 , 154
484 , 411 , 164
485 , 0 , 0
486 , 0 , 0
487 , 351 , 0
488 , 424 , 0
489 , 0 , 136
490 , 0 , 415
491 , 190 , 0
492 , 0 , 0
493 , 219 , 198
494 , 141 , 0
495 , 413 , 0
496 , 817 , 123
497 , 140 , 194
498 , 224 , 0
499 , 213 , 0
500 , 0 , 160
501 , 0 , 0
502 , 0 , 0
503 , 221 , 0
504 , 0 , 0
505 , 177 , 0
506 , 0 , 0
507 , 183 , 0
508 , 217 , 315
509 , 0 , 0
510 , 0 , 0
511 , 0 , 0
512 , 0 , 393
513 , 0 , 0
514 , 0 , 165
515 , 186 , 0
516 , 152 , 0
517 , 0 , 0
518 , 0 , 0
519 , 0 , 0
520 , 421 , 401
521 , 0 , 156
522 , 372 , 0
523 , 0 , 207
524 , 0 , 0
525 , 180 , 0
526 , 0 , 172
527 , 147 , 0
528 , 186 , 0
529 , 0 , 0
530 , 150 , 0
531 , 368 , 209
532 , 159 , 0
533 , 0 , 0
534 , 266 , 0
535 , 0 , 0
536 , 0 , 0
537 , 0 , 0
538 , 346 , 0
539 , 0 , 0
540 , 0 , 0
541 , 0 , 0
542 , 169 , 189
543 , 412 , 0
544 , 195 , 202
545 , 0 , 0
546 , 211 , 0
547 , 0 , 0
548 , 185 , 207
549 , 724 , 0
550 , 0 , 421
551 , 0 , 362
552 , 434 , 0
553 , 0 , 364
554 , 174 , 173
555 , 165 , 0
556 , 0 , 222
557 , 257 , 0
558 , 238 , 0
559 , 0 , 0
560 , 0 , 352
561 , 170 , 0
562 , 0 , 0
563 , 210 , 0
564 , 0 , 170
565 , 705 , 0
566 , 0 , 0
567 , 0 , 208
568 , 0 , 0
569 , 160 , 182
570 , 154 , 383
571 , 0 , 177
572 , 0 , 0
573 , 205 , 0
574 , 0 , 0
575 , 0 , 0
576 , 0 , 0
577 , 0 , 0
578 , 166 , 0
579 , 349 , 0
580 , 241 , 0
581 , 0 , 0
582 , 204 , 196
583 , 0 , 180
584 , 181 , 0
585 , 0 , 0
586 , 0 , 174
587 , 0 , 0
