line_no, Core 0 lines , Core 1 lines
0 , 0 , 0
1 , 0 , 0
2 , 0 , 0
3 , 0 , 0
4 , 0 , 0
5 , 488 , 925
6 , 0 , 0
7 , 0 , 430
8 , 0 , 0
9 , 423 , 0
10 , 0 , 0
11 , 0 , 842
12 , 0 , 0
13 , 0 , 0
14 , 0 , 0
15 , 0 , 0
16 , 0 , 362
17 , 984 , 0
18 , 0 , 397
19 , 0 , 0
20 , 0 , 0
21 , 0 , 400
22 , 0 , 0
23 , 0 , 0
24 , 431 , 0
25 , 0 , 0
26 , 0 , 0
27 , 0 , 0
28 , 0 , 0
29 , 0 , 0
30 , 0 , 0
31 , 459 , 0
32 , 0 , 0
33 , 0 , 0
34 , 0 , 0
35 , 0 , 0
36 , 0 , 512
37 , 0 , 0
38 , 0 , 0
39 , 355 , 429
40 , 0 , 0
41 , 0 , 0
42 , 458 , 0
43 , 427 , 0
44 , 405 , 369
45 , 424 , 0
46 , 0 , 0
47 , 0 , 0
48 , 340 , 423
49 , 442 , 453
50 , 386 , 0
51 , 373 , 0
52 , 0 , 0
53 , 0 , 482
54 , 0 , 0
55 , 0 , 0
56 , 364 , 0
57 , 0 , 0
58 , 0 , 0
59 , 0 , 0
60 , 0 , 477
61 , 459 , 0
62 , 359 , 0
63 , 0 , 0
64 , 0 , 0
65 , 0 , 0
66 , 440 , 0
67 , 0 , 417
68 , 0 , 0
69 , 377 , 324
70 , 0 , 0
71 , 0 , 0
72 , 0 , 0
73 , 367 , 0
74 , 0 , 543
75 , 401 , 328
76 , 0 , 775
77 , 0 , 0
78 , 0 , 0
79 , 0 , 0
80 , 0 , 491
81 , 456 , 0
82 , 469 , 428
83 , 0 , 0
84 , 0 , 0
85 , 0 , 0
86 , 0 , 0
87 , 0 , 518
88 , 381 , 368
89 , 0 , 507
90 , 0 , 0
91 , 0 , 322
92 , 0 , 315
93 , 0 , 0
94 , 0 , 0
95 , 0 , 0
96 , 0 , 0
97 , 0 , 0
98 , 0 , 0
99 , 0 , 0
100 , 0 , 0
101 , 0 , 0
102 , 0 , 0
103 , 0 , 522
104 , 0 , 0
105 , 0 , 0
106 , 0 , 0
107 , 0 , 0
108 , 0 , 0
109 , 384 , 0
110 , 396 , 0
111 , 0 , 492
112 , 0 , 450
113 , 0 , 0
114 , 0 , 0
115 , 768 , 0
116 , 0 , 0
117 , 0 , 0
118 , 0 , 0
119 , 0 , 0
120 , 0 , 0
121 , 0 , 0
122 , 0 , 0
123 , 0 , 502
124 , 0 , 0
125 , 0 , 366
126 , 443 , 0
127 , 0 , 565
128 , 0 , 414
129 , 0 , 1005
130 , 740 , 0
131 , 0 , 0
132 , 0 , 0
133 , 0 , 0
134 , 0 , 0
135 , 0 , 0
136 , 0 , 872
137 , 0 , 0
138 , 0 , 805
139 , 0 , 926
140 , 0 , 330
141 , 0 , 445
142 , 0 , 0
143 , 0 , 0
144 , 834 , 0
145 , 0 , 0
146 , 0 , 798
147 , 0 , 0
148 , 0 , 0
149 , 403 , 0
150 , 0 , 0
151 , 0 , 447
152 , 0 , 397
153 , 441 , 0
154 , 375 , 0
155 , 0 , 0
156 , 378 , 0
157 , 0 , 318
158 , 0 , 449
159 , 0 , 0
160 , 370 , 0
161 , 0 , 0
162 , 0 , 0
163 , 875 , 0
164 , 0 , 0
165 , 0 , 0
166 , 0 , 0
167 , 0 , 384
168 , 0 , 0
169 , 0 , 0
170 , 0 , 0
171 , 0 , 0
172 , 427 , 0
173 , 0 , 0
174 , 0 , 0
175 , 0 , 0
176 , 476 , 0
177 , 437 , 407
178 , 0 , 0
179 , 0 , 0
180 , 0 , 380
181 , 0 , 0
182 , 0 , 0
183 , 0 , 0
184 , 0 , 0
185 , 0 , 0
186 , 0 , 0
187 , 0 , 0
188 , 0 , 0
189 , 744 , 0
190 , 0 , 0
191 , 0 , 0
192 , 0 , 0
193 , 0 , 408
194 , 0 , 0
195 , 0 , 0
196 , 0 , 0
197 , 425 , 0
198 , 0 , 0
199 , 473 , 0
200 , 0 , 0
201 , 0 , 0
202 , 0 , 0
203 , 0 , 0
204 , 0 , 0
205 , 0 , 0
206 , 835 , 0
207 , 0 , 0
208 , 416 , 0
209 , 0 , 0
210 , 0 , 0
211 , 430 , 0
212 , 422 , 0
213 , 0 , 395
214 , 0 , 0
215 , 0 , 0
216 , 0 , 0
217 , 0 , 0
218 , 0 , 0
219 , 0 , 412
220 , 0 , 0
221 , 0 , 0
222 , 0 , 0
223 , 0 , 0
224 , 0 , 385
225 , 0 , 0
226 , 0 , 0
227 , 764 , 444
228 , 0 , 382
229 , 0 , 350
230 , 0 , 0
231 , 0 , 0
232 , 0 , 764
233 , 0 , 0
234 , 414 , 761
235 , 0 , 511
236 , 807 , 0
237 , 0 , 0
238 , 0 , 0
239 , 0 , 0
240 , 496 , 0
241 , 383 , 0
242 , 0 , 0
243 , 380 , 423
244 , 0 , 381
245 , 379 , 0
246 , 0 , 0
247 , 0 , 0
248 , 0 , 0
249 , 0 , 0
250 , 0 , 0
251 , 0 , 419
252 , 510 , 0
253 , 0 , 0
254 , 0 , 0
255 , 0 , 0
256 , 0 , 0
257 , 0 , 0
258 , 0 , 0
259 , 0 , 438
260 , 384 , 0
261 , 0 , 0
262 , 0 , 0
263 , 0 , 0
264 , 0 , 0
265 , 391 , 454
266 , 0 , 0
267 , 0 , 0
268 , 0 , 400
269 , 405 , 0
270 , 0 , 0
271 , 0 , 422
272 , 0 , 490
273 , 0 , 0
274 , 0 , 0
275 , 361 , 0
276 , 451 , 0
277 , 0 , 0
278 , 0 , 0
279 , 0 , 0
280 , 0 , 0
281 , 0 , 409
282 , 0 , 0
283 , 0 , 0
284 , 0 , 404
285 , 0 , 390
286 , 0 , 340
287 , 0 , 0
288 , 405 , 0
289 , 444 , 367
290 , 443 , 0
291 , 824 , 0
292 , 498 , 0
293 , 404 , 0
294 , 0 , 0
295 , 0 , 0
296 , 0 , 0
297 , 382 , 0
298 , 0 , 0
299 , 0 , 0
300 , 812 , 0
301 , 0 , 0
302 , 0 , 0
303 , 426 , 0
304 , 0 , 0
305 , 408 , 0
306 , 0 , 0
307 , 0 , 0
308 , 0 , 0
309 , 0 , 0
310 , 0 , 0
311 , 0 , 0
312 , 0 , 0
313 , 0 , 0
314 , 0 , 0
315 , 0 , 289
316 , 0 , 0
317 , 0 , 0
318 , 407 , 0
319 , 0 , 0
320 , 0 , 1715
321 , 835 , 0
322 , 0 , 0
323 , 0 , 0
324 , 1142 , 393
325 , 465 , 0
326 , 0 , 0
327 , 0 , 0
328 , 0 , 0
329 , 0 , 0
330 , 0 , 395
331 , 0 , 0
332 , 0 , 0
333 , 0 , 0
334 , 0 , 0
335 , 0 , 403
336 , 0 , 0
337 , 0 , 0
338 , 445 , 0
339 , 0 , 0
340 , 0 , 434
