line_no, Core 0 lines , Core 1 lines
318 , 24 , 40
319 , 35 , 23
320 , 0 , 80
321 , 39 , 0
322 , 27 , 77
323 , 7 , 21
324 , 96 , 45
325 , 38 , 0
326 , 0 , 0
327 , 46 , 14
328 , 24 , 0
329 , 0 , 28
330 , 0 , 27
331 , 11 , 61
332 , 28 , 23
333 , 27 , 30
334 , 0 , 9
335 , 0 , 39
336 , 8 , 12
337 , 16 , 27
338 , 46 , 11
339 , 0 , 0
340 , 0 , 31
341 , 20 , 0
342 , 53 , 56
343 , 0 , 16
344 , 41 , 0
345 , 0 , 53
346 , 27 , 40
347 , 38 , 26
348 , 24 , 16
349 , 34 , 0
350 , 20 , 46
351 , 11 , 71
352 , 17 , 42
353 , 14 , 0
354 , 0 , 14
355 , 42 , 39
356 , 25 , 25
357 , 22 , 47
358 , 34 , 51
359 , 0 , 0
360 , 12 , 9
361 , 16 , 5
362 , 0 , 50
363 , 28 , 17
364 , 14 , 17
365 , 27 , 18
366 , 9 , 8
367 , 28 , 13
368 , 29 , 23
369 , 19 , 27
370 , 31 , 29
371 , 0 , 29
372 , 0 , 30
373 , 8 , 29
374 , 51 , 8
375 , 16 , 0
376 , 16 , 0
377 , 15 , 34
378 , 0 , 17
379 , 20 , 30
380 , 44 , 38
381 , 0 , 27
382 , 0 , 0
383 , 12 , 22
384 , 10 , 0
385 , 15 , 60
386 , 0 , 30
387 , 72 , 43
388 , 23 , 34
389 , 44 , 43
390 , 0 , 20
391 , 0 , 0
392 , 0 , 50
393 , 36 , 37
394 , 28 , 40
395 , 35 , 55
396 , 16 , 38
397 , 19 , 0
398 , 36 , 27
399 , 66 , 0
400 , 48 , 12
401 , 0 , 34
402 , 46 , 29
403 , 55 , 50
404 , 25 , 35
405 , 21 , 76
406 , 62 , 28
407 , 28 , 44
408 , 38 , 31
409 , 32 , 21
410 , 29 , 15
411 , 46 , 38
412 , 28 , 0
413 , 34 , 46
414 , 22 , 32
415 , 14 , 26
416 , 36 , 36
417 , 42 , 56
418 , 50 , 39
419 , 33 , 12
420 , 28 , 42
421 , 0 , 10
422 , 32 , 21
423 , 49 , 0
424 , 31 , 66
425 , 18 , 21
426 , 0 , 39
427 , 41 , 83
428 , 23 , 35
429 , 51 , 19
430 , 0 , 26
431 , 0 , 6
432 , 16 , 27
433 , 47 , 52
434 , 40 , 0
435 , 29 , 21
436 , 33 , 0
437 , 0 , 0
438 , 41 , 28
439 , 0 , 20
440 , 0 , 46
441 , 43 , 53
442 , 10 , 14
443 , 21 , 34
444 , 0 , 37
