line_no, Core 0 lines , Core 1 lines
317 , 0 , 0
318 , 277 , 0
319 , 0 , 0
320 , 0 , 1100
321 , 469 , 0
322 , 0 , 802
323 , 0 , 0
324 , 906 , 481
325 , 1049 , 0
326 , 0 , 0
327 , 0 , 0
328 , 229 , 0
329 , 0 , 0
330 , 0 , 278
331 , 313 , 342
332 , 0 , 156
333 , 0 , 0
334 , 0 , 0
335 , 0 , 195
336 , 0 , 0
337 , 0 , 0
338 , 282 , 0
339 , 0 , 0
340 , 0 , 255
341 , 0 , 0
342 , 438 , 0
343 , 0 , 0
344 , 241 , 0
345 , 0 , 512
346 , 321 , 278
347 , 240 , 272
348 , 0 , 0
349 , 0 , 0
350 , 0 , 626
351 , 0 , 0
352 , 0 , 0
353 , 0 , 0
354 , 0 , 505
355 , 212 , 0
356 , 239 , 0
357 , 1072 , 949
358 , 0 , 0
359 , 0 , 0
360 , 0 , 325
361 , 0 , 0
362 , 0 , 459
363 , 331 , 267
364 , 0 , 0
365 , 298 , 276
366 , 335 , 0
367 , 572 , 329
368 , 0 , 0
369 , 0 , 0
370 , 0 , 0
371 , 0 , 0
372 , 0 , 260
373 , 1044 , 0
374 , 221 , 0
375 , 0 , 0
376 , 0 , 0
377 , 384 , 0
378 , 0 , 218
379 , 0 , 0
380 , 305 , 0
381 , 0 , 232
382 , 0 , 0
383 , 0 , 0
384 , 211 , 0
385 , 0 , 249
386 , 0 , 421
387 , 502 , 0
388 , 0 , 231
389 , 0 , 0
390 , 0 , 0
391 , 0 , 0
392 , 0 , 314
393 , 236 , 0
394 , 332 , 0
395 , 0 , 267
396 , 0 , 288
397 , 0 , 0
398 , 236 , 0
399 , 318 , 0
400 , 647 , 0
401 , 0 , 0
402 , 0 , 0
403 , 508 , 0
404 , 0 , 0
405 , 1127 , 0
406 , 264 , 0
407 , 0 , 217
408 , 538 , 0
409 , 286 , 0
410 , 259 , 284
411 , 318 , 240
412 , 268 , 0
413 , 291 , 276
414 , 0 , 0
415 , 0 , 0
416 , 231 , 224
417 , 311 , 0
418 , 0 , 303
419 , 306 , 325
420 , 0 , 555
421 , 0 , 1230
422 , 364 , 409
423 , 0 , 0
424 , 0 , 531
425 , 0 , 206
426 , 0 , 304
427 , 0 , 217
428 , 0 , 519
429 , 0 , 236
430 , 0 , 0
431 , 0 , 0
432 , 0 , 0
433 , 448 , 696
434 , 210 , 0
435 , 0 , 255
436 , 233 , 0
437 , 0 , 0
438 , 319 , 0
439 , 0 , 233
440 , 0 , 286
441 , 328 , 0
442 , 0 , 0
443 , 0 , 0
444 , 0 , 0
445 , 262 , 0
446 , 387 , 0
447 , 0 , 0
448 , 0 , 360
449 , 256 , 240
450 , 227 , 298
451 , 0 , 0
452 , 0 , 0
453 , 0 , 0
454 , 0 , 270
455 , 654 , 0
456 , 0 , 0
457 , 850 , 325
458 , 0 , 260
459 , 783 , 239
460 , 0 , 0
461 , 0 , 0
462 , 383 , 0
463 , 0 , 0
464 , 0 , 256
465 , 0 , 0
466 , 244 , 0
467 , 308 , 274
468 , 200 , 0
469 , 0 , 0
470 , 392 , 258
471 , 0 , 0
472 , 364 , 0
473 , 0 , 0
474 , 0 , 454
475 , 219 , 0
476 , 330 , 281
477 , 466 , 417
478 , 0 , 0
479 , 279 , 0
480 , 289 , 0
481 , 236 , 0
482 , 338 , 295
483 , 172 , 410
484 , 544 , 220
485 , 0 , 0
486 , 0 , 0
487 , 559 , 0
488 , 507 , 0
489 , 0 , 240
490 , 0 , 586
491 , 232 , 0
492 , 0 , 0
493 , 326 , 281
494 , 267 , 0
495 , 491 , 0
496 , 996 , 286
497 , 289 , 264
498 , 262 , 0
499 , 263 , 0
500 , 0 , 196
501 , 0 , 0
502 , 0 , 0
503 , 304 , 0
504 , 0 , 0
505 , 290 , 0
506 , 0 , 0
507 , 205 , 0
508 , 337 , 659
509 , 0 , 0
510 , 0 , 0
511 , 0 , 0
512 , 0 , 525
513 , 0 , 0
514 , 0 , 246
515 , 164 , 0
516 , 349 , 0
517 , 0 , 0
518 , 0 , 0
519 , 0 , 0
520 , 726 , 557
521 , 0 , 225
522 , 403 , 0
523 , 0 , 394
524 , 0 , 0
525 , 285 , 0
526 , 0 , 352
527 , 237 , 0
528 , 181 , 0
529 , 0 , 0
530 , 222 , 0
531 , 487 , 368
532 , 170 , 0
533 , 0 , 0
534 , 264 , 0
535 , 0 , 0
536 , 0 , 0
537 , 0 , 0
538 , 576 , 0
539 , 0 , 0
540 , 0 , 0
541 , 0 , 0
542 , 301 , 185
543 , 583 , 0
544 , 271 , 366
545 , 0 , 0
546 , 389 , 0
547 , 0 , 0
548 , 309 , 270
549 , 1183 , 0
550 , 0 , 547
551 , 0 , 478
552 , 607 , 0
553 , 0 , 442
554 , 249 , 300
555 , 312 , 0
556 , 0 , 391
557 , 299 , 0
558 , 365 , 0
559 , 0 , 0
560 , 0 , 635
561 , 336 , 0
562 , 0 , 0
563 , 282 , 0
564 , 0 , 279
565 , 1138 , 0
566 , 0 , 0
567 , 0 , 331
568 , 0 , 0
569 , 249 , 276
570 , 275 , 641
571 , 0 , 284
572 , 0 , 0
573 , 361 , 0
574 , 0 , 0
575 , 0 , 0
576 , 0 , 0
577 , 0 , 0
578 , 303 , 0
579 , 503 , 0
580 , 307 , 0
581 , 0 , 0
582 , 462 , 301
583 , 0 , 273
584 , 229 , 0
585 , 0 , 0
586 , 0 , 201
587 , 0 , 0
588 , 0 , 0
589 , 591 , 278
590 , 0 , 0
591 , 256 , 0
592 , 0 , 578
593 , 314 , 0
594 , 269 , 361
595 , 350 , 219
596 , 0 , 307
597 , 981 , 0
598 , 0 , 0
599 , 471 , 0
600 , 635 , 0
601 , 546 , 0
602 , 0 , 297
603 , 0 , 0
604 , 350 , 301
605 , 699 , 0
606 , 568 , 663
607 , 0 , 0
608 , 266 , 365
609 , 894 , 0
610 , 287 , 0
611 , 0 , 247
612 , 0 , 317
613 , 0 , 0
614 , 0 , 0
615 , 0 , 279
616 , 346 , 761
617 , 0 , 0
618 , 0 , 0
619 , 0 , 0
620 , 0 , 0
621 , 0 , 220
622 , 292 , 0
623 , 0 , 617
624 , 0 , 0
625 , 368 , 0
626 , 233 , 359
627 , 0 , 297
628 , 0 , 0
629 , 1178 , 0
630 , 0 , 340
631 , 280 , 224
632 , 0 , 341
633 , 0 , 0
634 , 0 , 0
635 , 470 , 0
636 , 0 , 0
637 , 968 , 0
638 , 0 , 486
639 , 0 , 0
640 , 0 , 0
641 , 0 , 221
642 , 0 , 0
643 , 507 , 0
644 , 292 , 306
645 , 0 , 0
646 , 0 , 0
647 , 0 , 234
648 , 631 , 213
649 , 0 , 0
650 , 0 , 0
651 , 0 , 0
652 , 0 , 0
653 , 0 , 0
654 , 0 , 218
655 , 156 , 0
656 , 0 , 0
657 , 357 , 0
658 , 553 , 250
659 , 0 , 185
660 , 0 , 0
661 , 0 , 0
662 , 0 , 0
663 , 186 , 0
664 , 255 , 225
665 , 0 , 284
666 , 0 , 211
667 , 0 , 331
668 , 483 , 0
669 , 560 , 239
670 , 440 , 0
671 , 308 , 0
672 , 652 , 315
673 , 678 , 0
674 , 0 , 358
675 , 607 , 0
676 , 0 , 0
677 , 954 , 0
678 , 0 , 350
679 , 0 , 0
680 , 0 , 671
681 , 293 , 0
682 , 0 , 0
683 , 327 , 0
684 , 0 , 0
685 , 299 , 0
686 , 257 , 0
687 , 209 , 365
688 , 203 , 0
689 , 0 , 0
690 , 0 , 0
691 , 470 , 538
692 , 342 , 0
693 , 0 , 980
694 , 463 , 242
695 , 0 , 615
696 , 273 , 0
697 , 0 , 0
698 , 604 , 0
699 , 340 , 182
700 , 0 , 0
701 , 475 , 0
702 , 331 , 0
703 , 0 , 0
704 , 679 , 0
705 , 622 , 0
706 , 0 , 0
707 , 0 , 213
708 , 0 , 0
709 , 0 , 0
710 , 0 , 302
711 , 0 , 0
712 , 259 , 254
713 , 0 , 0
714 , 670 , 240
715 , 0 , 0
716 , 0 , 0
717 , 397 , 370
718 , 0 , 294
719 , 209 , 0
720 , 317 , 211
721 , 321 , 328
722 , 276 , 0
723 , 0 , 273
724 , 0 , 0
725 , 0 , 1242
726 , 0 , 0
727 , 0 , 286
728 , 266 , 0
729 , 0 , 0
730 , 200 , 0
731 , 0 , 0
732 , 0 , 1079
733 , 305 , 335
734 , 0 , 224
735 , 224 , 0
736 , 0 , 612
737 , 817 , 0
738 , 0 , 0
739 , 0 , 0
740 , 0 , 284
741 , 1110 , 0
742 , 0 , 324
743 , 210 , 0
744 , 378 , 0
745 , 0 , 0
746 , 0 , 0
747 , 0 , 274
748 , 0 , 0
749 , 244 , 211
750 , 0 , 0
751 , 0 , 0
752 , 0 , 0
753 , 0 , 920
754 , 0 , 0
755 , 0 , 156
756 , 314 , 0
757 , 0 , 0
758 , 0 , 0
759 , 258 , 0
760 , 0 , 280
761 , 482 , 386
762 , 0 , 296
763 , 0 , 314
764 , 273 , 259
765 , 0 , 377
766 , 338 , 0
767 , 348 , 0
768 , 276 , 368
769 , 0 , 0
770 , 376 , 0
771 , 250 , 0
772 , 0 , 0
773 , 0 , 0
774 , 590 , 0
775 , 0 , 562
776 , 247 , 0
777 , 268 , 0
778 , 300 , 188
779 , 0 , 221
780 , 291 , 0
781 , 190 , 749
782 , 0 , 202
783 , 205 , 296
784 , 320 , 675
785 , 0 , 0
786 , 239 , 0
787 , 194 , 705
788 , 266 , 0
789 , 0 , 0
790 , 0 , 0
791 , 0 , 282
792 , 0 , 0
793 , 0 , 0
794 , 288 , 0
795 , 0 , 0
796 , 0 , 0
797 , 0 , 356
798 , 0 , 0
799 , 338 , 0
800 , 159 , 0
801 , 0 , 249
802 , 0 , 0
803 , 0 , 412
804 , 0 , 0
805 , 0 , 0
806 , 266 , 192
807 , 307 , 0
808 , 0 , 283
809 , 332 , 237
810 , 0 , 0
811 , 0 , 285
812 , 244 , 295
813 , 0 , 299
814 , 232 , 0
815 , 311 , 0
816 , 0 , 501
817 , 622 , 0
818 , 429 , 0
819 , 0 , 0
820 , 558 , 0
821 , 0 , 0
822 , 0 , 199
823 , 212 , 381
824 , 0 , 328
825 , 390 , 0
826 , 0 , 0
827 , 0 , 0
828 , 0 , 550
829 , 259 , 0
830 , 0 , 581
831 , 234 , 0
832 , 376 , 303
833 , 0 , 0
834 , 0 , 0
835 , 0 , 684
836 , 0 , 375
837 , 0 , 0
838 , 0 , 0
839 , 277 , 636
840 , 203 , 0
841 , 275 , 0
842 , 0 , 236
843 , 0 , 0
844 , 246 , 0
845 , 513 , 0
846 , 0 , 0
847 , 692 , 0
848 , 659 , 234
849 , 167 , 0
850 , 648 , 329
851 , 0 , 0
852 , 0 , 0
853 , 972 , 1061
854 , 0 , 208
855 , 0 , 266
856 , 315 , 0
857 , 0 , 214
858 , 339 , 0
859 , 313 , 0
860 , 0 , 254
861 , 0 , 0
862 , 0 , 300
863 , 371 , 371
864 , 0 , 0
865 , 276 , 0
866 , 0 , 471
867 , 0 , 0
868 , 0 , 0
869 , 0 , 0
870 , 0 , 0
871 , 0 , 0
872 , 0 , 0
873 , 0 , 0
874 , 0 , 615
875 , 285 , 0
876 , 0 , 343
877 , 242 , 0
878 , 0 , 0
879 , 461 , 0
880 , 0 , 231
881 , 0 , 0
882 , 0 , 409
883 , 0 , 318
884 , 229 , 608
885 , 0 , 0
886 , 0 , 0
887 , 0 , 0
888 , 0 , 200
889 , 0 , 341
890 , 297 , 1190
891 , 898 , 0
892 , 0 , 0
893 , 0 , 0
894 , 0 , 0
895 , 297 , 0
896 , 0 , 279
897 , 0 , 291
898 , 214 , 0
899 , 0 , 0
900 , 0 , 0
901 , 0 , 1228
902 , 0 , 236
903 , 0 , 0
904 , 0 , 0
905 , 245 , 0
906 , 256 , 0
907 , 304 , 299
908 , 0 , 0
909 , 226 , 0
910 , 0 , 0
911 , 0 , 641
912 , 349 , 302
913 , 0 , 0
914 , 298 , 0
915 , 0 , 0
916 , 356 , 0
917 , 0 , 0
918 , 0 , 0
919 , 0 , 0
920 , 346 , 470
921 , 0 , 0
922 , 0 , 0
923 , 0 , 0
924 , 0 , 0
925 , 0 , 275
926 , 0 , 0
927 , 216 , 286
928 , 232 , 214
929 , 0 , 209
930 , 0 , 323
931 , 0 , 0
932 , 0 , 0
933 , 0 , 0
934 , 0 , 0
935 , 0 , 0
936 , 0 , 0
937 , 235 , 255
938 , 318 , 0
939 , 0 , 0
940 , 0 , 397
941 , 165 , 0
942 , 0 , 233
943 , 274 , 632
944 , 0 , 0
945 , 0 , 0
946 , 295 , 276
947 , 0 , 246
948 , 0 , 0
949 , 0 , 0
950 , 0 , 277
951 , 0 , 0
952 , 0 , 0
953 , 218 , 0
954 , 1074 , 0
955 , 0 , 0
956 , 259 , 315
957 , 168 , 0
958 , 0 , 0
959 , 310 , 477
960 , 277 , 243
961 , 238 , 607
962 , 277 , 292
963 , 208 , 194
964 , 303 , 305
965 , 0 , 0
966 , 0 , 516
967 , 0 , 0
968 , 0 , 285
969 , 0 , 283
970 , 377 , 0
971 , 0 , 0
972 , 0 , 499
973 , 0 , 0
974 , 0 , 0
975 , 341 , 273
976 , 382 , 815
977 , 0 , 0
978 , 0 , 0
979 , 0 , 260
980 , 0 , 0
981 , 0 , 0
982 , 0 , 315
983 , 0 , 517
984 , 0 , 0
985 , 220 , 0
986 , 0 , 529
987 , 382 , 223
988 , 0 , 0
989 , 0 , 0
990 , 292 , 0
991 , 802 , 732
992 , 305 , 0
993 , 0 , 284
994 , 231 , 0
995 , 790 , 658
996 , 0 , 0
997 , 0 , 0
998 , 485 , 0
999 , 255 , 266
1000 , 0 , 0
1001 , 0 , 0
1002 , 527 , 0
1003 , 0 , 284
1004 , 0 , 0
1005 , 0 , 292
1006 , 0 , 0
1007 , 0 , 239
1008 , 255 , 348
1009 , 331 , 0
1010 , 0 , 214
1011 , 0 , 384
1012 , 0 , 0
1013 , 1226 , 0
1014 , 315 , 306
1015 , 0 , 0
1016 , 0 , 0
1017 , 0 , 366
1018 , 334 , 193
1019 , 0 , 535
1020 , 308 , 0
1021 , 712 , 0
1022 , 0 , 0
1023 , 0 , 0
1024 , 259 , 0
1025 , 198 , 0
1026 , 0 , 167
1027 , 0 , 302
1028 , 0 , 0
1029 , 0 , 0
1030 , 0 , 369
1031 , 0 , 0
1032 , 196 , 0
1033 , 0 , 0
1034 , 0 , 0
1035 , 510 , 318
1036 , 248 , 0
1037 , 223 , 165
1038 , 0 , 0
1039 , 271 , 0
1040 , 0 , 0
1041 , 276 , 0
1042 , 0 , 557
1043 , 0 , 364
1044 , 0 , 265
1045 , 0 , 0
1046 , 246 , 295
1047 , 0 , 0
1048 , 0 , 0
1049 , 252 , 561
1050 , 279 , 219
1051 , 0 , 220
1052 , 0 , 237
1053 , 0 , 0
1054 , 583 , 0
1055 , 240 , 0
1056 , 209 , 270
1057 , 338 , 298
1058 , 0 , 0
1059 , 357 , 0
1060 , 0 , 603
1061 , 0 , 0
1062 , 619 , 241
1063 , 0 , 0
1064 , 306 , 0
1065 , 200 , 203
1066 , 0 , 0
1067 , 0 , 407
1068 , 0 , 0
1069 , 0 , 219
1070 , 329 , 0
1071 , 0 , 0
1072 , 0 , 184
1073 , 562 , 223
1074 , 0 , 0
1075 , 305 , 0
1076 , 312 , 0
1077 , 0 , 0
1078 , 302 , 0
1079 , 274 , 0
1080 , 0 , 362
1081 , 0 , 0
1082 , 0 , 725
1083 , 299 , 0
1084 , 0 , 0
1085 , 0 , 0
1086 , 231 , 319
1087 , 0 , 0
1088 , 696 , 193
1089 , 493 , 0
1090 , 0 , 0
1091 , 0 , 0
1092 , 0 , 0
1093 , 0 , 0
1094 , 570 , 0
1095 , 0 , 328
1096 , 597 , 0
1097 , 0 , 0
1098 , 321 , 0
1099 , 246 , 0
1100 , 269 , 0
1101 , 310 , 0
1102 , 0 , 0
1103 , 322 , 0
1104 , 0 , 0
1105 , 416 , 0
1106 , 583 , 204
1107 , 0 , 0
1108 , 307 , 0
1109 , 0 , 0
1110 , 0 , 0
1111 , 286 , 271
1112 , 370 , 0
1113 , 232 , 0
1114 , 0 , 0
1115 , 182 , 0
1116 , 0 , 0
1117 , 246 , 259
1118 , 0 , 0
1119 , 0 , 230
1120 , 889 , 0
1121 , 962 , 314
1122 , 0 , 0
1123 , 249 , 384
1124 , 0 , 0
1125 , 0 , 0
1126 , 306 , 343
1127 , 305 , 0
1128 , 272 , 0
1129 , 0 , 237
1130 , 0 , 260
1131 , 0 , 0
1132 , 311 , 304
1133 , 0 , 312
1134 , 0 , 0
1135 , 0 , 556
1136 , 0 , 223
1137 , 0 , 714
1138 , 0 , 0
1139 , 0 , 259
1140 , 0 , 0
1141 , 0 , 0
1142 , 305 , 0
1143 , 0 , 0
1144 , 283 , 0
1145 , 0 , 614
1146 , 220 , 291
1147 , 0 , 352
1148 , 0 , 357
