line_no, Core 0 lines , Core 1 lines
0 , 19 , 10
1 , 28 , 26
2 , 23 , 17
3 , 23 , 51
4 , 0 , 0
5 , 19 , 27
6 , 18 , 22
7 , 0 , 15
8 , 27 , 28
9 , 22 , 25
10 , 7 , 57
11 , 27 , 25
12 , 26 , 14
13 , 0 , 0
14 , 41 , 24
15 , 20 , 62
16 , 29 , 23
17 , 38 , 21
18 , 32 , 17
19 , 31 , 32
20 , 0 , 0
21 , 37 , 32
22 , 23 , 19
23 , 41 , 12
24 , 42 , 5
25 , 54 , 24
26 , 2 , 46
27 , 10 , 18
28 , 18 , 12
29 , 0 , 0
30 , 27 , 30
31 , 18 , 2
32 , 34 , 19
33 , 8 , 21
34 , 2 , 45
35 , 44 , 21
36 , 0 , 0
37 , 25 , 23
38 , 4 , 7
39 , 18 , 45
40 , 29 , 33
41 , 6 , 26
42 , 13 , 49
43 , 52 , 14
44 , 33 , 37
45 , 0 , 0
46 , 34 , 28
47 , 41 , 23
48 , 24 , 26
49 , 42 , 20
50 , 21 , 11
51 , 59 , 21
52 , 0 , 0
53 , 24 , 8
54 , 32 , 36
55 , 38 , 33
56 , 39 , 36
57 , 53 , 39
58 , 16 , 19
59 , 8 , 41
60 , 22 , 11
61 , 0 , 0
62 , 47 , 32
63 , 52 , 22
64 , 59 , 31
65 , 33 , 14
66 , 43 , 37
67 , 22 , 25
68 , 0 , 0
69 , 23 , 28
70 , 13 , 9
71 , 10 , 35
72 , 6 , 50
73 , 17 , 22
74 , 33 , 49
75 , 88 , 25
76 , 21 , 54
77 , 0 , 0
78 , 35 , 16
79 , 8 , 31
80 , 33 , 33
81 , 19 , 23
82 , 6 , 39
83 , 36 , 0
84 , 0 , 0
85 , 42 , 9
86 , 38 , 48
87 , 16 , 53
88 , 27 , 33
89 , 45 , 18
90 , 50 , 13
91 , 29 , 23
92 , 15 , 4
93 , 0 , 0
94 , 15 , 10
95 , 5 , 52
96 , 11 , 47
97 , 59 , 43
98 , 17 , 15
99 , 13 , 46
100 , 0 , 0
101 , 14 , 21
102 , 29 , 17
103 , 6 , 15
104 , 34 , 35
105 , 12 , 34
106 , 32 , 15
107 , 21 , 17
108 , 15 , 34
109 , 411 , 0
110 , 34 , 19
111 , 0 , 43
112 , 25 , 35
113 , 21 , 42
114 , 31 , 27
115 , 34 , 30
116 , 0 , 0
117 , 18 , 27
118 , 9 , 72
119 , 35 , 20
120 , 55 , 18
121 , 39 , 47
122 , 32 , 44
123 , 27 , 51
124 , 24 , 21
125 , 0 , 0
126 , 40 , 0
127 , 29 , 40
128 , 18 , 42
129 , 29 , 52
130 , 27 , 9
131 , 13 , 39
132 , 0 , 0
133 , 13 , 42
134 , 32 , 12
135 , 10 , 16
136 , 13 , 15
137 , 39 , 10
138 , 21 , 22
139 , 28 , 26
140 , 30 , 43
141 , 0 , 0
142 , 16 , 67
143 , 5 , 22
144 , 58 , 2
145 , 25 , 23
146 , 18 , 54
147 , 13 , 4
148 , 0 , 0
149 , 39 , 17
150 , 20 , 25
151 , 26 , 20
152 , 10 , 41
153 , 33 , 33
154 , 13 , 7
155 , 8 , 7
156 , 5 , 30
157 , 0 , 0
158 , 12 , 45
159 , 43 , 29
160 , 19 , 21
161 , 12 , 38
162 , 24 , 59
163 , 30 , 11
164 , 0 , 0
165 , 44 , 19
166 , 36 , 17
167 , 38 , 31
168 , 15 , 13
169 , 35 , 77
170 , 19 , 16
171 , 11 , 25
172 , 10 , 14
173 , 0 , 0
174 , 32 , 25
175 , 27 , 22
176 , 61 , 30
177 , 45 , 37
