line_no, Core 0 lines , Core 1 lines
0 , 26 , 16
1 , 40 , 39
2 , 18 , 27
3 , 15 , 53
4 , 0 , 0
5 , 23 , 55
6 , 45 , 26
7 , 0 , 30
8 , 41 , 41
9 , 22 , 27
10 , 5 , 47
11 , 18 , 27
12 , 26 , 20
13 , 0 , 0
14 , 39 , 22
15 , 19 , 43
16 , 29 , 31
17 , 41 , 15
18 , 28 , 32
19 , 42 , 43
20 , 0 , 0
21 , 28 , 31
22 , 38 , 17
23 , 30 , 12
24 , 47 , 10
25 , 48 , 22
26 , 4 , 36
27 , 6 , 22
28 , 16 , 21
29 , 0 , 0
30 , 23 , 42
31 , 33 , 9
32 , 32 , 19
33 , 7 , 28
34 , 8 , 32
35 , 43 , 26
36 , 0 , 0
37 , 39 , 17
38 , 15 , 10
39 , 16 , 40
40 , 46 , 37
41 , 3 , 24
42 , 14 , 35
43 , 28 , 13
44 , 31 , 42
45 , 0 , 0
46 , 38 , 30
47 , 43 , 33
48 , 25 , 26
49 , 40 , 43
50 , 22 , 26
51 , 55 , 22
52 , 0 , 0
53 , 23 , 15
54 , 39 , 44
55 , 38 , 33
56 , 45 , 47
57 , 45 , 44
58 , 15 , 27
59 , 7 , 34
60 , 20 , 11
61 , 0 , 0
62 , 71 , 37
63 , 73 , 16
64 , 61 , 11
65 , 30 , 9
66 , 31 , 50
67 , 27 , 9
68 , 0 , 0
69 , 19 , 36
70 , 22 , 28
71 , 14 , 38
72 , 10 , 39
73 , 19 , 23
74 , 23 , 46
75 , 76 , 20
76 , 31 , 49
77 , 0 , 0
78 , 30 , 23
79 , 6 , 42
80 , 34 , 61
81 , 24 , 33
82 , 10 , 34
83 , 42 , 0
84 , 0 , 0
85 , 44 , 14
86 , 27 , 54
87 , 36 , 56
88 , 24 , 38
89 , 29 , 20
90 , 44 , 21
91 , 23 , 12
92 , 37 , 17
93 , 0 , 0
94 , 19 , 28
95 , 7 , 33
96 , 16 , 35
97 , 32 , 65
98 , 14 , 21
99 , 15 , 53
100 , 0 , 0
101 , 13 , 18
102 , 13 , 22
103 , 9 , 17
104 , 39 , 39
105 , 14 , 32
106 , 19 , 25
107 , 15 , 29
108 , 20 , 53
109 , 448 , 0
110 , 28 , 24
111 , 0 , 44
112 , 34 , 33
113 , 21 , 51
114 , 33 , 14
115 , 32 , 32
116 , 0 , 0
117 , 12 , 34
118 , 4 , 104
119 , 47 , 21
120 , 50 , 31
121 , 61 , 70
122 , 29 , 45
123 , 30 , 35
124 , 26 , 21
125 , 0 , 0
126 , 20 , 0
127 , 29 , 35
128 , 17 , 36
129 , 41 , 39
130 , 32 , 6
131 , 22 , 50
132 , 0 , 0
133 , 3 , 32
134 , 32 , 10
135 , 11 , 3
136 , 28 , 17
137 , 33 , 9
138 , 37 , 27
139 , 16 , 29
140 , 40 , 48
141 , 0 , 0
142 , 12 , 71
143 , 7 , 20
144 , 52 , 4
145 , 35 , 26
146 , 20 , 57
147 , 9 , 9
148 , 0 , 0
149 , 64 , 20
150 , 26 , 20
151 , 27 , 19
152 , 14 , 38
153 , 33 , 38
154 , 17 , 18
155 , 6 , 4
156 , 6 , 37
157 , 0 , 0
158 , 17 , 56
159 , 45 , 35
160 , 25 , 22
161 , 12 , 41
162 , 28 , 45
163 , 38 , 8
164 , 0 , 0
165 , 50 , 28
166 , 39 , 27
167 , 63 , 49
168 , 15 , 24
169 , 37 , 88
170 , 27 , 9
171 , 12 , 33
172 , 24 , 8
173 , 0 , 0
174 , 39 , 27
175 , 14 , 11
176 , 52 , 31
177 , 44 , 56
178 , 77 , 28
179 , 13 , 12
180 , 0 , 0
181 , 33 , 17
182 , 8 , 26
183 , 25 , 23
184 , 15 , 52
185 , 21 , 38
186 , 37 , 40
187 , 38 , 36
188 , 27 , 12
189 , 433 , 0
190 , 17 , 16
191 , 44 , 51
192 , 10 , 12
193 , 21 , 37
194 , 24 , 16
195 , 28 , 27
196 , 0 , 0
197 , 22 , 36
198 , 37 , 34
199 , 50 , 52
200 , 42 , 35
201 , 9 , 13
202 , 25 , 5
203 , 20 , 9
204 , 4 , 35
205 , 0 , 0
206 , 29 , 55
207 , 19 , 10
208 , 22 , 39
209 , 38 , 45
210 , 34 , 40
211 , 11 , 72
212 , 0 , 0
213 , 9 , 23
214 , 20 , 40
215 , 46 , 11
216 , 17 , 5
217 , 17 , 8
218 , 10 , 30
219 , 24 , 34
220 , 20 , 7
221 , 0 , 0
222 , 26 , 55
223 , 21 , 19
224 , 19 , 26
225 , 0 , 6
226 , 35 , 2
227 , 44 , 32
228 , 0 , 0
229 , 3 , 22
230 , 29 , 34
231 , 32 , 13
232 , 26 , 56
233 , 30 , 19
234 , 51 , 38
235 , 18 , 29
236 , 28 , 40
237 , 0 , 0
238 , 11 , 11
239 , 41 , 17
240 , 34 , 41
241 , 7 , 15
242 , 12 , 41
243 , 30 , 26
244 , 0 , 0
245 , 62 , 15
246 , 40 , 34
247 , 5 , 7
248 , 15 , 23
249 , 41 , 48
250 , 14 , 32
251 , 20 , 24
252 , 26 , 9
253 , 0 , 0
254 , 82 , 39
255 , 49 , 8
